Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
0.3,0,0,0,0,0,4,0,4101,140.106196400,140.19,0,10,0,84.8,1,13,140.106196400
6.9,0,0,0,0,7,3,0,248271,414.31339520,414.6,0,30,7,709,1,43.4,414.31339520
1.2,0,0,2,0,5,7,0,6087,380.10420754,380.4,0,26,3,600,1,130,380.10420754
-1.9,0,0,2,0,4,4,0,6137,149.05104977,149.21,0,9,1,97,1,88.6,149.05104977
0.6,0,0,2,0,7,5,1,4107,241.09502258,241.24,0,17,0,236,1,91,241.09502258
4.1,0,0,1,0,10,10,0,71798,608.27338086,608.7,0,44,6,1000,1,118,608.27338086
-1.8,0,0,5,0,9,12,0,126941,454.17131583,454.4,0,33,1,704,1,211,454.17131583
0.5,0,0,2,0,4,4,2,6082,211.12084340,211.26,0,15,0,189,1,64.7,211.12084340
1.9,0,0,0,0,1,4,0,4114,216.04225873,216.19,0,16,0,325,1,48.7,216.04225873
2.2,0,0,0,0,2,3,0,4116,163.9607265,164.96,0,8,0,75.7,1,9.2,163.9607265
1.4,0,0,2,0,2,7,1,4121,358.9568036,360.2,0,20,0,571,1,126,358.9568036
-0.5,0,0,1,0,0,1,0,887,32.026214747,32.042,0,2,0,2,1,20.2,32.026214747
-1,0,0,1,0,5,4,0,157922,145.07389321,145.16,0,10,0,133,1,69.4,145.07389321
2,0,0,1,0,2,3,0,7456,152.047344113,152.15,0,11,0,136,1,46.5,152.047344113
0.8,0,0,0,0,2,3,0,7151,137.047678466,137.14,0,10,0,125,1,39.2,137.047678466
2.3,0,0,1,0,2,3,0,4133,152.047344113,152.15,0,11,0,144,1,46.5,152.047344113
-1,0,0,0,0,12,11,8,51063134,454.24141202,454.5,0,31,2,496,1,102,454.24141202
0.9,0,0,0,0,0,2,0,33344,148.9702126,149.60,0,8,0,156,1,45.6,148.9702126
-1.9,0,0,4,0,3,5,0,38853,211.08445790,211.21,0,15,1,246,1,104,211.08445790
1.7,0,0,1,0,3,2,2,4374,179.131014166,179.26,0,13,0,141,1,23.5,179.131014166
2.3,0,0,3,0,4,3,0,8226,339.19467705,339.4,0,25,3,549,1,68.4,339.19467705
0,0,0,0,0,0,2,0,39800,115.00918496,115.16,0,7,0,121,1,45.6,115.00918496
1.6,0,0,2,1,2,4,1,5361918,356.18618331,356.4,0,26,4,664,1,66.8,356.18618331
0.2,0,0,1,0,4,3,2,4158,233.141578849,233.31,0,17,0,249,1,38.3,233.141578849
1.8,0,0,1,0,2,3,1,8271,246.10044231,246.26,0,18,0,388,1,66.5,246.10044231
